hs_code,description
000000,"Barang"
010000,"Binatang hidup"
010100,"Kuda, keledai, bagal dan hinnie, hidup"
010200,"Binatang hidup jenis lembu"
010300,"Babi hidup"
010400,"Biri-biri dan kambing, hidup"
010500,"Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea"
010600,"Binatang hidup lainnya"
020000,"Daging dan sisa daging yang dapat dimakan"
020100,"Daging binatang jenis lembu, segar atau dingin"
020200,"Daging binatang jenis lembu, beku"
020300,"Daging babi, segar, dingin atau beku"
020400,"Daging bid-bid atau kamblng, segar, dingin atau beku"
020500,"Daging kuda, keledai, bagal atau hinnie, segar, dingin atau beku"
020600,"Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku."
020700,"Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku"
020800,"Daging dan sisanya yang dapat dimakan dari binatang lainnya, segar, dingin atau beku"
020900,"Lemak babi tanpa daging dan lemak unggas, tidak dicairkan atau diekstraksi dengan cara lain, segar, dingin, beku, dlasinkan, dalam air garam, dikeringkan atau diasapi"
021000,"Daging dan sisanya yang dapat dimakan, diasinkan, dalam air garam, dikeringkan atau diasapiï¼› tepung dan tepung kasar dari daging dan sisanya yang dapat dimakan"
030000,"lkan dan krustasea, moluska serta invertebrata air lainnya "
030100,"Ikan hidup"
030200,"Ikan, segar atau dingin, tidak termasuk potongan ikan tanpa tulang dan daging ikan lainnya dari pos 03.04"
030300,"Ikan beku, tidak termasuk potongan ikan tanpa tulang dan daging ikan lainnya dari pos 03.04"
030400,"Fillet dan daging ikan lainnya (dicincang maupun tidak), segar, dlngln atau beku"
030500,"lkan, dikeringkan, diasinkan atau dalam air garamï¼› lkan diasapi, dimasak maupun tidak sebelum atau selama proses pengasapan"
030600,"Krustasea, bercangkang maupun tidak, hidup, segar, dingin, beku, dikeringkan, diasinkan atau dalam air garamï¼› krustasea diasapi, dimasak maupun tidak sebelum atau selama proses pengasapanï¼› krustasea, bercangkang, dikukus atau direbus, dingin, beku., dilr:eringkan, diasinkan atau dalam air garam maupun tidak"
